stage,checkpoint_episode,rollout_id,total_steps,total_reward,success,path_type,events,shield_pickup_step,trap_hit_step,final_row,final_col,has_shield_final,shield_consumed
early,50,0,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,1,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,2,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,3,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,4,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,5,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,6,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,7,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,8,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,9,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,10,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,11,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,12,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,13,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,14,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,0,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,1,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,2,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,3,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,4,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,5,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,6,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,7,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,8,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,9,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,10,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,11,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,12,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,13,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,100,14,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,0,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,1,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,2,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,3,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,4,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,5,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,6,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,7,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,8,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,9,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,10,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,11,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,12,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,13,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
late,200,14,40,-102.0,0,timeout,start|shield_pickup|timeout,1,-1,1,1,1,0
