stage,checkpoint_episode,rollout_id,step,row,col,action,reward,cumulative_reward,has_shield,event
early,50,0,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,0,2,2,1,UP,-0.5,4.0,True,
early,50,0,3,1,1,DOWN,-0.5,3.5,True,
early,50,0,4,2,1,UP,-1.5,2.0,True,
early,50,0,5,1,1,DOWN,-1.5,0.5,True,
early,50,0,6,2,1,UP,-1.5,-1.0,True,
early,50,0,7,1,1,DOWN,-1.5,-2.5,True,
early,50,0,8,2,1,UP,-1.5,-4.0,True,
early,50,0,9,1,1,DOWN,-1.5,-5.5,True,
early,50,0,10,2,1,UP,-1.5,-7.0,True,
early,50,0,11,1,1,DOWN,-1.5,-8.5,True,
early,50,0,12,2,1,UP,-1.5,-10.0,True,
early,50,0,13,1,1,DOWN,-1.5,-11.5,True,
early,50,0,14,2,1,UP,-1.5,-13.0,True,
early,50,0,15,1,1,DOWN,-1.5,-14.5,True,
early,50,0,16,2,1,UP,-1.5,-16.0,True,
early,50,0,17,1,1,DOWN,-1.5,-17.5,True,
early,50,0,18,2,1,UP,-1.5,-19.0,True,
early,50,0,19,1,1,DOWN,-1.5,-20.5,True,
early,50,0,20,2,1,UP,-1.5,-22.0,True,
early,50,0,21,1,1,DOWN,-1.5,-23.5,True,
early,50,0,22,2,1,UP,-1.5,-25.0,True,
early,50,0,23,1,1,DOWN,-1.5,-26.5,True,
early,50,0,24,2,1,UP,-1.5,-28.0,True,
early,50,0,25,1,1,DOWN,-1.5,-29.5,True,
early,50,0,26,2,1,UP,-1.5,-31.0,True,
early,50,0,27,1,1,DOWN,-1.5,-32.5,True,
early,50,0,28,2,1,UP,-1.5,-34.0,True,
early,50,0,29,1,1,DOWN,-1.5,-35.5,True,
early,50,0,30,2,1,UP,-1.5,-37.0,True,
early,50,0,31,1,1,DOWN,-1.5,-38.5,True,
early,50,0,32,2,1,UP,-1.5,-40.0,True,
early,50,0,33,1,1,DOWN,-1.5,-41.5,True,
early,50,0,34,2,1,UP,-1.5,-43.0,True,
early,50,0,35,1,1,DOWN,-1.5,-44.5,True,
early,50,0,36,2,1,UP,-1.5,-46.0,True,
early,50,0,37,1,1,DOWN,-1.5,-47.5,True,
early,50,0,38,2,1,UP,-1.5,-49.0,True,
early,50,0,39,1,1,DOWN,-1.5,-50.5,True,
early,50,0,40,2,1,UP,-51.5,-102.0,True,timeout
early,50,1,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,1,2,2,1,UP,-0.5,4.0,True,
early,50,1,3,1,1,DOWN,-0.5,3.5,True,
early,50,1,4,2,1,UP,-1.5,2.0,True,
early,50,1,5,1,1,DOWN,-1.5,0.5,True,
early,50,1,6,2,1,UP,-1.5,-1.0,True,
early,50,1,7,1,1,DOWN,-1.5,-2.5,True,
early,50,1,8,2,1,UP,-1.5,-4.0,True,
early,50,1,9,1,1,DOWN,-1.5,-5.5,True,
early,50,1,10,2,1,UP,-1.5,-7.0,True,
early,50,1,11,1,1,DOWN,-1.5,-8.5,True,
early,50,1,12,2,1,UP,-1.5,-10.0,True,
early,50,1,13,1,1,DOWN,-1.5,-11.5,True,
early,50,1,14,2,1,UP,-1.5,-13.0,True,
early,50,1,15,1,1,DOWN,-1.5,-14.5,True,
early,50,1,16,2,1,UP,-1.5,-16.0,True,
early,50,1,17,1,1,DOWN,-1.5,-17.5,True,
early,50,1,18,2,1,UP,-1.5,-19.0,True,
early,50,1,19,1,1,DOWN,-1.5,-20.5,True,
early,50,1,20,2,1,UP,-1.5,-22.0,True,
early,50,1,21,1,1,DOWN,-1.5,-23.5,True,
early,50,1,22,2,1,UP,-1.5,-25.0,True,
early,50,1,23,1,1,DOWN,-1.5,-26.5,True,
early,50,1,24,2,1,UP,-1.5,-28.0,True,
early,50,1,25,1,1,DOWN,-1.5,-29.5,True,
early,50,1,26,2,1,UP,-1.5,-31.0,True,
early,50,1,27,1,1,DOWN,-1.5,-32.5,True,
early,50,1,28,2,1,UP,-1.5,-34.0,True,
early,50,1,29,1,1,DOWN,-1.5,-35.5,True,
early,50,1,30,2,1,UP,-1.5,-37.0,True,
early,50,1,31,1,1,DOWN,-1.5,-38.5,True,
early,50,1,32,2,1,UP,-1.5,-40.0,True,
early,50,1,33,1,1,DOWN,-1.5,-41.5,True,
early,50,1,34,2,1,UP,-1.5,-43.0,True,
early,50,1,35,1,1,DOWN,-1.5,-44.5,True,
early,50,1,36,2,1,UP,-1.5,-46.0,True,
early,50,1,37,1,1,DOWN,-1.5,-47.5,True,
early,50,1,38,2,1,UP,-1.5,-49.0,True,
early,50,1,39,1,1,DOWN,-1.5,-50.5,True,
early,50,1,40,2,1,UP,-51.5,-102.0,True,timeout
early,50,2,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,2,2,2,1,UP,-0.5,4.0,True,
early,50,2,3,1,1,DOWN,-0.5,3.5,True,
early,50,2,4,2,1,UP,-1.5,2.0,True,
early,50,2,5,1,1,DOWN,-1.5,0.5,True,
early,50,2,6,2,1,UP,-1.5,-1.0,True,
early,50,2,7,1,1,DOWN,-1.5,-2.5,True,
early,50,2,8,2,1,UP,-1.5,-4.0,True,
early,50,2,9,1,1,DOWN,-1.5,-5.5,True,
early,50,2,10,2,1,UP,-1.5,-7.0,True,
early,50,2,11,1,1,DOWN,-1.5,-8.5,True,
early,50,2,12,2,1,UP,-1.5,-10.0,True,
early,50,2,13,1,1,DOWN,-1.5,-11.5,True,
early,50,2,14,2,1,UP,-1.5,-13.0,True,
early,50,2,15,1,1,DOWN,-1.5,-14.5,True,
early,50,2,16,2,1,UP,-1.5,-16.0,True,
early,50,2,17,1,1,DOWN,-1.5,-17.5,True,
early,50,2,18,2,1,UP,-1.5,-19.0,True,
early,50,2,19,1,1,DOWN,-1.5,-20.5,True,
early,50,2,20,2,1,UP,-1.5,-22.0,True,
early,50,2,21,1,1,DOWN,-1.5,-23.5,True,
early,50,2,22,2,1,UP,-1.5,-25.0,True,
early,50,2,23,1,1,DOWN,-1.5,-26.5,True,
early,50,2,24,2,1,UP,-1.5,-28.0,True,
early,50,2,25,1,1,DOWN,-1.5,-29.5,True,
early,50,2,26,2,1,UP,-1.5,-31.0,True,
early,50,2,27,1,1,DOWN,-1.5,-32.5,True,
early,50,2,28,2,1,UP,-1.5,-34.0,True,
early,50,2,29,1,1,DOWN,-1.5,-35.5,True,
early,50,2,30,2,1,UP,-1.5,-37.0,True,
early,50,2,31,1,1,DOWN,-1.5,-38.5,True,
early,50,2,32,2,1,UP,-1.5,-40.0,True,
