stage,checkpoint_episode,rollout_id,total_steps,total_reward,success,path_type,events,shield_pickup_step,trap_hit_step,final_row,final_col,has_shield_final,shield_consumed
early,50,0,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,1,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,2,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,3,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,4,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,5,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,6,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,7,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,8,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
early,50,9,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,80,0,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,80,1,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,80,2,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,80,3,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,80,4,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,80,5,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,80,6,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,80,7,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,80,8,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
mid,80,9,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
late,100,0,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
late,100,1,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
late,100,2,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
late,100,3,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
late,100,4,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
late,100,5,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
late,100,6,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
late,100,7,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
late,100,8,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
late,100,9,40,-102.0,0,shield_route,start|shield_pickup|timeout,1,-1,1,1,1,0
