episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,82,6.7200,1,13,0,79,0.020948,-0.002420,-0.025142,0.000000,0.000000,0.000000,0,0.000000,0.9961,0.9961,1.0000
1,200,-10.3000,0,50,0,94,0.671830,0.011681,0.042676,0.000000,0.000000,0.000000,0,0.000000,0.9866,0.9866,0.5000
2,87,7.4200,1,55,0,86,0.170334,0.000450,-0.001916,0.000000,0.000000,0.000000,0,0.000000,0.9825,0.9825,0.6667
3,200,-11.7000,0,170,2,197,0.286704,0.010533,0.005255,0.000000,0.000000,0.000000,0,0.000000,0.9730,0.9730,0.5000
4,200,-9.5000,0,31,0,41,0.069005,0.002655,0.017710,0.000000,0.000000,0.000000,0,0.000000,0.9635,0.9635,0.4000
5,107,4.2200,1,67,4,75,0.038584,-0.000420,0.000438,0.000000,0.000000,0.000000,0,0.000000,0.9584,0.9584,0.5000
6,182,-0.2800,1,175,5,181,0.274296,0.010386,0.040800,0.000000,0.000000,0.000000,0,0.000000,0.9497,0.9497,0.5714
7,70,8.4000,1,60,0,69,1.317977,0.046178,0.304783,0.000000,0.000000,0.000000,0,0.000000,0.9464,0.9464,0.6250
8,29,10.5400,1,16,0,28,0.912325,0.027881,0.282595,0.000000,0.000000,0.000000,0,0.000000,0.9450,0.9450,0.6667
9,153,1.7800,1,146,6,151,0.967088,0.023934,0.340106,0.000000,0.000000,0.000000,0,0.000000,0.9378,0.9378,0.7000
10,172,0.3200,1,117,2,171,0.911503,0.007210,0.352430,0.000000,0.000000,0.000000,0,0.000000,0.9296,0.9296,0.7273
11,200,-12.1000,0,33,0,-1,0.870311,0.008712,0.356089,0.000000,0.000000,0.000000,0,0.000000,0.9201,0.9201,0.6667
12,133,3.3800,1,100,1,132,0.570518,0.000600,0.308677,0.000000,0.000000,0.000000,0,0.000000,0.9138,0.9138,0.6923
13,61,9.2600,1,27,0,60,0.818513,0.027917,0.309089,0.000000,0.000000,0.000000,0,0.000000,0.9109,0.9109,0.7143
14,200,-11.9000,0,12,0,-1,0.780012,0.015862,0.356270,0.000000,0.000000,0.000000,0,0.000000,0.9014,0.9014,0.6667
15,122,2.3200,1,84,4,121,0.794339,0.005688,0.559332,0.000000,0.000000,0.000000,0,0.000000,0.8956,0.8956,0.6875
16,81,6.8600,1,66,1,79,0.584094,0.000982,0.641321,0.000000,0.000000,0.000000,0,0.000000,0.8917,0.8917,0.7059
17,87,7.2200,1,21,0,28,0.343360,0.003643,0.518010,0.000000,0.000000,0.000000,0,0.000000,0.8876,0.8876,0.7222
18,83,5.1800,1,39,4,81,0.195042,0.004925,0.577838,0.000000,0.000000,0.000000,0,0.000000,0.8837,0.8837,0.7368
19,172,1.9200,1,76,0,169,0.199793,-0.003452,0.585540,0.000000,0.000000,0.000000,0,0.000000,0.8755,0.8755,0.7500
20,93,6.5800,1,8,0,91,0.207372,-0.002386,0.614743,0.000000,0.000000,0.000000,0,0.000000,0.8711,0.8711,0.7619
21,172,1.5200,1,5,0,34,0.206782,-0.002365,0.591820,0.000000,0.000000,0.000000,0,0.000000,0.8629,0.8629,0.7727
22,61,7.0600,1,32,5,60,0.265681,-0.006220,0.628519,0.000000,0.000000,0.000000,0,0.000000,0.8600,0.8600,0.7826
23,200,-11.8000,0,101,1,-1,1.536833,0.033647,1.363304,0.000000,0.000000,0.000000,0,0.000000,0.8505,0.8505,0.7500
24,166,-2.6400,1,124,13,144,0.680783,-0.008219,1.896180,0.000000,0.000000,0.000000,0,0.000000,0.8426,0.8426,0.7600
25,58,7.4800,1,49,4,54,0.232331,0.010009,1.927687,0.000000,0.000000,0.000000,0,0.000000,0.8399,0.8399,0.7692
26,39,10.5400,1,17,0,38,0.296877,-0.010743,1.933448,0.000000,0.000000,0.000000,0,0.000000,0.8380,0.8380,0.7778
27,105,5.5000,1,17,2,49,0.225757,-0.005580,2.061923,0.000000,0.000000,0.000000,0,0.000000,0.8330,0.8330,0.7857
28,86,4.5600,1,51,7,83,0.201817,-0.002800,2.033884,0.000000,0.000000,0.000000,0,0.000000,0.8290,0.8290,0.7931
29,48,8.6800,1,24,3,47,0.181539,0.005628,2.091117,0.000000,0.000000,0.000000,0,0.000000,0.8267,0.8267,0.8000
