episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,172,0.9200,1,13,0,169,0.009911,0.012755,-0.028568,0.000852,-0.001311,-0.000013,0,-0.000007,0.9918,0.9918,1.0000
1,171,1.6600,1,41,4,170,0.119200,0.065232,0.217696,0.006895,0.131444,0.056714,0,0.028357,0.9837,0.9537,1.0000
2,136,4.3600,1,16,0,134,0.018656,-0.006928,0.240498,-0.000689,0.165436,0.065761,0,0.032880,0.9772,0.9472,1.0000
3,90,6.8000,1,47,0,60,0.010719,0.007268,0.191029,0.000702,0.116984,0.047215,0,0.023608,0.9730,0.9430,1.0000
4,179,1.5400,1,6,0,26,0.006782,-0.006126,0.222174,-0.000657,0.139539,0.055421,0,0.027711,0.9645,0.9345,1.0000
5,96,6.1600,1,20,0,64,0.006722,0.001205,0.194961,0.000003,0.122197,0.048880,0,0.024440,0.9599,0.9299,1.0000
6,80,7.2000,1,36,1,79,0.006508,0.006160,0.156849,0.000246,0.092894,0.037305,0,0.018653,0.9561,0.9261,1.0000
7,94,7.6400,1,14,0,68,0.006738,-0.008466,0.266867,-0.000595,0.156687,0.062317,0,0.031159,0.9516,0.9216,1.0000
8,125,4.7000,1,53,0,119,0.182487,0.388166,1.223002,0.037806,0.578006,0.253886,0,0.126943,0.9457,0.9157,1.0000
9,68,7.6800,1,44,0,67,0.213761,-0.007039,1.537946,0.002701,0.598206,0.240903,0,0.120451,0.9425,0.9125,1.0000
10,93,5.5800,1,28,2,63,0.190255,-0.028739,1.493419,-0.001626,0.533873,0.212573,0,0.106287,0.9381,0.9081,1.0000
11,52,8.9200,1,25,0,50,0.144057,-0.139185,1.688119,-0.009984,0.617825,0.241140,0,0.120570,0.9356,0.9056,1.0000
12,16,11.7600,1,8,0,15,0.165898,-0.139349,1.409868,-0.010574,0.456683,0.176329,0,0.088164,0.9348,0.9048,1.0000
13,200,-10.9000,0,65,2,80,0.130651,-0.163881,1.494451,-0.014876,0.646606,0.249717,0,0.124858,0.9253,0.8953,0.9286
14,148,2.8800,1,49,1,82,0.110992,-0.183453,1.256309,-0.016640,0.569018,0.217623,0,0.108812,0.9183,0.8883,0.9333
15,136,4.5600,1,46,0,135,0.090617,-0.184535,1.208092,-0.017536,0.502901,0.190639,0,0.095320,0.9118,0.8818,0.9375
16,160,1.6000,1,32,1,158,0.047612,-0.170968,1.179555,-0.016314,0.485768,0.184519,0,0.092259,0.9042,0.8742,0.9412
17,200,-10.2000,0,92,3,129,0.550922,0.622183,1.736052,0.058548,0.417817,0.202256,0,0.101128,0.8947,0.8647,0.8889
18,136,3.7600,1,126,2,135,0.159063,-0.043931,2.072814,0.000186,0.565983,0.226505,0,0.113253,0.8883,0.8583,0.8947
19,140,2.8000,1,65,5,137,0.092581,-0.240222,2.091738,-0.021743,0.742809,0.284078,0,0.142039,0.8816,0.8516,0.9000
20,150,3.4000,1,30,0,57,0.067543,-0.267712,2.063748,-0.024273,0.740247,0.281535,0,0.140768,0.8745,0.8445,0.9048
21,196,0.9600,1,22,0,101,0.054555,-0.262411,1.945988,-0.025649,0.654051,0.246231,0,0.123115,0.8652,0.8352,0.9091
22,67,8.8200,1,34,0,66,0.034396,-0.247368,1.993411,-0.019901,0.555392,0.210217,0,0.105108,0.8620,0.8320,0.9130
23,90,5.4000,1,45,6,70,0.036132,-0.209743,1.725024,-0.019927,0.511836,0.192778,0,0.096389,0.8577,0.8277,0.9167
24,63,9.5800,1,30,0,60,0.822705,-0.019549,2.591074,-0.007534,0.533681,0.208952,0,0.104476,0.8547,0.8247,0.9200
25,82,6.7200,1,48,1,74,1.087471,0.689589,3.449556,0.057926,0.440558,0.210979,0,0.105489,0.8509,0.8209,0.9231
26,41,9.8600,1,28,0,36,0.751333,0.573078,3.415192,0.043955,0.443272,0.203682,0,0.101841,0.8489,0.8189,0.9259
27,158,3.4800,1,125,0,152,0.425545,0.092463,3.802927,0.013217,0.750799,0.308250,0,0.154125,0.8414,0.8114,0.9286
28,200,-8.7000,0,31,0,38,0.127121,-0.174193,3.743460,-0.016171,0.795089,0.308333,0,0.154167,0.8319,0.8019,0.8966
29,69,7.9400,1,53,1,60,0.068462,-0.202615,3.496075,-0.016639,0.560201,0.214097,0,0.107049,0.8286,0.7986,0.9000
30,54,9.2400,1,38,0,51,0.056344,-0.167658,3.508418,-0.014248,0.475371,0.181600,0,0.090800,0.8261,0.7961,0.9032
31,181,1.6600,1,33,0,48,0.063518,-0.231327,3.677552,-0.021961,0.580086,0.218858,0,0.109429,0.8175,0.7875,0.9062
32,82,7.5200,1,75,0,80,0.041428,-0.195346,3.694103,-0.017682,0.477479,0.180382,0,0.090191,0.8136,0.7836,0.9091
33,95,6.1000,1,73,1,94,0.035547,-0.193587,3.679399,-0.018051,0.556647,0.211828,0,0.105914,0.8091,0.7791,0.9118
34,147,2.0200,1,128,1,139,1.501221,0.154309,5.194876,0.011312,0.183130,0.080039,3,0.040020,0.8021,0.8021,0.9143
35,82,7.7200,1,68,0,79,0.861309,0.257597,5.165901,0.023949,0.020440,0.022546,3,0.011273,0.7982,0.7982,0.9167
36,29,11.1400,1,13,0,25,0.591274,-0.023750,5.275302,0.003848,0.021042,0.010726,3,0.005363,0.7968,0.7968,0.9189
37,141,2.2600,1,62,5,140,0.437382,0.007000,5.430447,0.000742,0.075188,0.030521,3,0.015260,0.7901,0.7601,0.9211
38,168,2.2800,1,90,1,115,0.169518,-0.105386,5.442451,-0.008954,0.155832,0.056960,3,0.028480,0.7821,0.7521,0.9231
39,144,4.0400,1,112,0,142,0.081366,-0.130940,5.380816,-0.012480,0.270579,0.100744,3,0.050372,0.7753,0.7453,0.9250
40,200,-9.8000,0,68,0,94,0.044324,-0.104632,5.230424,-0.009837,0.155997,0.056497,3,0.028248,0.7658,0.7358,0.9024
41,200,-13.2000,0,82,1,-1,0.594017,0.033363,6.071243,0.004284,0.082302,0.035491,60,0.017746,0.7563,0.9500,0.8810
42,87,7.8200,1,17,0,33,0.572451,0.066185,6.775863,0.005775,-0.243337,-0.093870,147,-0.046935,0.7521,0.9500,0.8837
43,200,-12.3000,0,43,0,-1,0.360356,0.093130,6.954497,0.008762,-0.209401,-0.078503,347,-0.039252,0.7426,0.9500,0.8636
44,44,10.2400,1,17,0,41,0.244405,0.056351,6.953897,0.005736,-0.159411,-0.060323,391,-0.030161,0.7406,0.9500,0.8667
45,161,2.0600,1,60,1,98,0.149179,-0.025604,7.006353,-0.001568,-0.077513,-0.031946,531,-0.015973,0.7329,0.9053,0.8696
46,31,10.8600,1,17,0,29,0.101602,-0.074008,7.160870,-0.005483,-0.019026,-0.010900,539,-0.005450,0.7314,0.7014,0.8723
47,64,8.2400,1,28,1,58,0.090436,-0.033749,7.205835,-0.004140,0.009129,0.001167,540,0.000584,0.7284,0.7284,0.8750
48,69,8.1400,1,19,1,30,0.092659,-0.145991,7.269936,-0.011135,0.061794,0.018037,540,0.009018,0.7251,0.6951,0.8776
49,46,8.3600,1,34,4,45,0.076499,-0.111580,7.382894,-0.009856,0.095662,0.032351,540,0.016176,0.7229,0.6959,0.8800
50,167,1.6200,1,22,0,38,0.066769,-0.165513,7.422692,-0.014713,0.126775,0.041882,540,0.020941,0.7150,0.6850,0.8824
51,200,-9.6000,0,25,0,151,0.353213,0.145251,8.215062,0.012536,0.007088,0.010357,565,0.005178,0.7055,0.7055,0.8654
52,55,9.5000,1,12,0,40,0.169104,0.131335,8.579884,0.011689,0.007132,0.009866,565,0.004933,0.7029,0.7029,0.8679
53,200,-8.3000,0,21,0,27,0.134756,0.078753,8.514900,0.007860,0.033185,0.017990,565,0.008995,0.6934,0.6934,0.8519
