episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,shield_pickup_step,trap_hit_step,path_type,wall_bumps,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,10,-1.0000,1,-1,0,-1,-1,8,trap_rush,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1.0000,0.0000,1.0000
1,100,-8.0000,0,-1,0,-1,14,-1,timeout,0,2.722009,-0.007100,0.005531,0.000000,0.000000,0.000000,0,0.000000,0.9987,0.0000,0.5000
2,22,-12.2000,1,-1,0,-1,-1,18,trap_rush,0,2.199432,-0.004509,-0.010016,0.000000,0.000000,0.000000,0,0.000000,0.9975,0.0000,0.6667
3,48,-23.8000,1,-1,0,-1,8,40,shield_route,0,2.614805,-0.102989,-0.013206,0.000000,0.000000,0.000000,0,0.000000,0.9962,0.0000,0.7500
4,62,-76.2000,1,-1,0,-1,-1,24,trap_rush,0,4.488956,-0.202979,-0.119117,0.000000,0.000000,0.000000,0,0.000000,0.9949,0.0000,0.8000
5,100,-128.0000,0,-1,0,-1,94,6,timeout,0,6.200750,-0.014137,-0.580127,0.000000,0.000000,0.000000,0,0.000000,0.9937,0.0000,0.6667
6,36,-3.6000,1,-1,0,-1,-1,34,trap_rush,0,5.758334,-0.068963,-0.622359,0.000000,0.000000,0.000000,0,0.000000,0.9924,0.0000,0.7143
7,86,-68.6000,1,-1,0,-1,-1,12,trap_rush,0,5.630800,-0.025367,-0.635336,0.000000,0.000000,0.000000,0,0.000000,0.9911,0.0000,0.7500
8,74,-86.4000,1,-1,0,-1,26,6,other,0,6.630269,0.029007,-0.749120,0.000000,0.000000,0.000000,0,0.000000,0.9899,0.0000,0.7778
9,72,-36.2000,1,-1,0,-1,24,6,other,0,7.288034,-0.016767,-0.688849,0.000000,0.000000,0.000000,0,0.000000,0.9886,0.0000,0.8000
10,100,-8.0000,0,-1,0,-1,24,-1,timeout,0,6.437140,-0.027464,-0.569455,0.000000,0.000000,0.000000,0,0.000000,0.9873,0.0000,0.7273
11,100,-19.0000,0,-1,0,-1,4,62,timeout,0,5.646228,0.021435,-0.567193,0.000000,0.000000,0.000000,0,0.000000,0.9860,0.0000,0.6667
12,6,-0.6000,1,-1,0,-1,-1,4,trap_rush,0,5.037156,0.210147,-0.552797,0.000000,0.000000,0.000000,0,0.000000,0.9848,0.0000,0.6923
13,100,-8.0000,0,-1,0,-1,26,-1,timeout,0,5.258899,-0.020948,-0.513855,0.000000,0.000000,0.000000,0,0.000000,0.9835,0.0000,0.6429
14,40,-34.0000,1,-1,0,-1,-1,32,trap_rush,0,3.754830,0.021030,-0.438293,0.000000,0.000000,0.000000,0,0.000000,0.9822,0.0000,0.6667
15,32,7.8000,1,-1,0,-1,14,30,shield_route,0,6.234827,-0.068974,-0.470019,0.000000,0.000000,0.000000,0,0.000000,0.9810,0.0000,0.6875
16,74,-16.4000,1,-1,0,-1,10,26,shield_route,0,5.469375,0.046929,-0.403560,0.000000,0.000000,0.000000,0,0.000000,0.9797,0.0000,0.7059
17,66,4.4000,1,-1,0,-1,8,64,shield_route,0,4.452021,0.011174,-0.406921,0.000000,0.000000,0.000000,0,0.000000,0.9784,0.0000,0.7222
18,20,-32.0000,1,-1,0,-1,-1,6,trap_rush,0,4.418325,0.132497,-0.368622,0.000000,0.000000,0.000000,0,0.000000,0.9772,0.0000,0.7368
19,98,1.2000,1,-1,0,-1,6,96,shield_route,0,5.210444,-0.014351,-0.333225,0.000000,0.000000,0.000000,0,0.000000,0.9759,0.0000,0.7500
20,22,-12.2000,1,-1,0,-1,-1,16,trap_rush,0,5.144637,-0.108830,-0.349304,0.000000,0.000000,0.000000,0,0.000000,0.9746,0.0000,0.7619
21,60,-5.0000,1,-1,0,-1,32,52,shield_route,0,4.945807,0.027187,-0.404605,0.000000,0.000000,0.000000,0,0.000000,0.9734,0.0000,0.7727
22,100,-119.0000,0,-1,0,-1,46,22,timeout,0,4.724841,-0.051580,-0.385095,0.000000,0.000000,0.000000,0,0.000000,0.9721,0.0000,0.7391
23,10,-21.0000,1,-1,0,-1,-1,4,trap_rush,0,3.996580,0.131668,-0.422554,0.000000,0.000000,0.000000,0,0.000000,0.9708,0.0000,0.7500
24,100,-9.0000,0,-1,0,-1,6,100,timeout,0,5.283325,-0.032703,-0.442856,0.000000,0.000000,0.000000,0,0.000000,0.9696,0.0000,0.7200
