episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,shield_pickup_step,trap_hit_step,path_type,wall_bumps,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,10,-1.0000,1,-1,0,-1,-1,8,trap_rush,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1.0000,0.0000,1.0000
1,100,-8.0000,0,-1,0,-1,14,-1,timeout,0,2.724479,-0.016705,0.015136,0.000000,0.000000,0.051752,0,0.000000,0.9987,0.0000,0.5000
2,22,-12.2000,1,-1,0,-1,-1,18,trap_rush,0,2.202989,-0.011399,-0.003126,0.000000,0.000000,0.011314,0,0.000000,0.9975,0.0000,0.6667
3,48,-23.8000,1,-1,0,-1,8,40,shield_route,0,2.618186,-0.107684,-0.008511,0.000000,0.000000,-0.016325,0,0.000000,0.9962,0.0000,0.7500
4,62,-76.2000,1,-1,0,-1,-1,24,trap_rush,0,4.504618,-0.200877,-0.121218,0.000000,0.000000,-0.107157,0,0.000000,0.9949,0.0000,0.8000
5,100,-128.0000,0,-1,0,-1,94,6,timeout,0,6.207477,-0.019291,-0.574973,0.000000,0.000000,0.095219,0,0.000000,0.9937,0.0000,0.6667
6,36,-3.6000,1,-1,0,-1,-1,34,trap_rush,0,5.762161,-0.088538,-0.602783,0.000000,0.000000,0.115959,0,0.000000,0.9924,0.0000,0.7143
7,86,-68.6000,1,-1,0,-1,-1,12,trap_rush,0,5.629470,-0.036774,-0.623930,0.000000,0.000000,0.103047,0,0.000000,0.9911,0.0000,0.7500
8,74,-86.4000,1,-1,0,-1,26,6,other,0,6.629544,0.009748,-0.729862,0.000000,0.000000,0.208720,0,0.000000,0.9899,0.0000,0.7778
9,72,-36.2000,1,-1,0,-1,24,6,other,0,7.292136,-0.040196,-0.665420,0.000000,0.000000,0.197455,0,0.000000,0.9886,0.0000,0.8000
10,100,-8.0000,0,-1,0,-1,24,-1,timeout,0,6.437533,-0.046655,-0.550264,0.000000,0.000000,0.112002,0,0.000000,0.9873,0.0000,0.7273
11,100,-19.0000,0,-1,0,-1,4,62,timeout,0,5.647041,0.008946,-0.554703,0.000000,0.000000,0.114804,0,0.000000,0.9860,0.0000,0.6667
