episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,23,-121.8200,1,-1,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1.0000,0.0000,1.0000
1,25,-62.3000,1,-1,0,-1,82.162553,-3.287059,-0.191378,0.000000,0.000000,-0.985975,0,0.000000,0.9990,0.0000,1.0000
2,44,-64.1600,1,-1,0,-1,58.766767,-0.428432,-2.425009,0.000000,0.000000,-0.121481,0,0.000000,0.9981,0.0000,1.0000
3,25,-61.9000,1,-1,0,-1,53.094471,-0.015658,-2.711076,0.000000,0.000000,-0.150549,0,0.000000,0.9971,0.0000,1.0000
4,18,-31.5200,1,-1,0,-1,43.729779,0.556090,-2.652250,0.000000,0.000000,0.536319,0,0.000000,0.9962,0.0000,1.0000
5,72,-156.2800,1,-1,0,-1,46.383839,-0.127528,-2.158505,0.000000,0.000000,-0.103799,0,0.000000,0.9952,0.0000,1.0000
6,68,-35.9200,1,-1,0,-1,43.268891,0.033271,-2.135641,0.000000,0.000000,0.039695,0,0.000000,0.9943,0.0000,1.0000
7,100,-8.9000,0,-1,0,-1,33.812782,-0.069804,-1.547691,0.000000,0.000000,-0.043428,0,0.000000,0.9933,0.0000,0.8750
8,100,-6.5000,0,-1,0,-1,24.795309,-0.155739,-1.011078,0.000000,0.000000,-0.166274,0,0.000000,0.9924,0.0000,0.7778
9,57,-34.7800,1,-1,0,-1,19.211547,-0.064626,-0.832047,0.000000,0.000000,-0.010677,0,0.000000,0.9914,0.0000,0.8000
10,100,-38.8000,0,-1,0,-1,17.056519,-0.149732,-0.668992,0.000000,0.000000,-0.173399,0,0.000000,0.9905,0.0000,0.7273
11,100,-66.0000,0,-1,0,-1,20.724636,-0.222100,-0.845711,0.000000,0.000000,-0.201151,0,0.000000,0.9895,0.0000,0.6667
12,69,-38.0600,1,-1,0,-1,16.924603,-0.115326,-0.931179,0.000000,0.000000,-0.116044,0,0.000000,0.9886,0.0000,0.6923
13,40,-64.2000,1,-1,0,-1,9.276059,0.006178,-0.752303,0.000000,0.000000,-0.035288,0,0.000000,0.9876,0.0000,0.7143
14,100,-5.7000,0,-1,0,-1,8.772597,-0.049135,-0.965331,0.000000,0.000000,-0.056154,0,0.000000,0.9867,0.0000,0.6667
15,100,-66.8000,0,-1,0,-1,3.584892,-0.026657,-0.658179,0.000000,0.000000,-0.026643,0,0.000000,0.9857,0.0000,0.6250
16,60,-94.6000,1,-1,0,-1,5.214789,-0.152604,-0.592919,0.000000,0.000000,-0.143244,0,0.000000,0.9848,0.0000,0.6471
17,100,-70.8000,0,-1,0,-1,2.225593,-0.079718,-0.587875,0.000000,0.000000,-0.086107,0,0.000000,0.9838,0.0000,0.6111
18,26,-32.4400,1,-1,0,-1,4.114728,-0.110760,-0.660830,0.000000,0.000000,-0.109578,0,0.000000,0.9829,0.0000,0.6316
19,75,-156.9000,1,-1,0,-1,1.902765,-0.049318,-0.413128,0.000000,0.000000,-0.053163,0,0.000000,0.9819,0.0000,0.6500
20,100,-6.9000,0,-1,0,-1,2.543460,-0.086487,-0.458106,0.000000,0.000000,-0.085674,0,0.000000,0.9810,0.0000,0.6190
21,33,-182.6200,1,-1,0,-1,1.009413,-0.057362,-0.715002,0.000000,0.000000,-0.058198,0,0.000000,0.9800,0.0000,0.6364
22,23,-151.8200,1,-1,0,-1,2.988615,0.002024,-0.587711,0.000000,0.000000,0.009566,0,0.000000,0.9791,0.0000,0.6522
23,100,-6.6000,0,-1,0,-1,1.082858,-0.018032,-0.867416,0.000000,0.000000,-0.021593,0,0.000000,0.9781,0.0000,0.6250
24,100,-6.7000,0,-1,0,-1,0.720930,0.026539,-0.755564,0.000000,0.000000,0.026580,0,0.000000,0.9772,0.0000,0.6000
25,56,-7.0400,1,-1,0,-1,0.918405,0.034002,-0.903915,0.000000,0.000000,0.026526,0,0.000000,0.9762,0.0000,0.6154
26,78,-9.5200,1,-1,0,-1,0.851178,0.027499,-0.539867,0.000000,0.000000,0.032414,0,0.000000,0.9753,0.0000,0.6296
27,100,-38.8000,0,-1,0,-1,1.001982,0.035832,-0.593538,0.000000,0.000000,0.036638,0,0.000000,0.9743,0.0000,0.6071
28,69,-35.8600,1,-1,0,-1,0.752043,0.031833,-0.600476,0.000000,0.000000,0.025058,0,0.000000,0.9734,0.0000,0.6207
29,100,-5.7000,0,-1,0,-1,0.686243,0.030774,-0.599164,0.000000,0.000000,0.027816,0,0.000000,0.9724,0.0000,0.6000
30,100,-6.8000,0,-1,0,-1,1.447226,0.056674,-0.450119,0.000000,0.000000,0.062620,0,0.000000,0.9715,0.0000,0.5806
31,100,-71.5000,0,-1,0,-1,0.837117,0.034449,-0.410976,0.000000,0.000000,0.036038,0,0.000000,0.9705,0.0000,0.5625
32,100,-9.5000,0,-1,0,-1,1.003068,0.036856,-0.315902,0.000000,0.000000,0.037500,0,0.000000,0.9696,0.0000,0.5455
33,100,-161.6000,0,-1,0,-1,0.801104,0.037737,-0.400772,0.000000,0.000000,0.029946,0,0.000000,0.9686,0.0000,0.5294
34,52,-64.8800,1,-1,0,-1,2.603820,0.096490,-0.595069,0.000000,0.000000,0.103476,0,0.000000,0.9677,0.0000,0.5429
35,88,-39.9200,1,-1,0,-1,0.972160,0.035246,-0.403350,0.000000,0.000000,0.038598,0,0.000000,0.9667,0.0000,0.5556
36,100,-6.2000,0,-1,0,-1,2.077951,0.081854,-0.476716,0.000000,0.000000,0.079937,0,0.000000,0.9658,0.0000,0.5405
37,100,-6.7000,0,-1,0,-1,2.315984,0.090043,-0.461111,0.000000,0.000000,0.087708,0,0.000000,0.9648,0.0000,0.5263
38,26,-32.2400,1,-1,0,-1,1.802361,0.031043,-0.323393,0.000000,0.000000,0.064290,0,0.000000,0.9639,0.0000,0.5385
39,100,-7.1000,0,-1,0,-1,1.463534,0.057857,-0.506880,0.000000,0.000000,0.052416,0,0.000000,0.9629,0.0000,0.5250
40,100,-6.5000,0,-1,0,-1,0.697522,0.023847,-0.214589,0.000000,0.000000,0.025621,0,0.000000,0.9620,0.0000,0.5122
41,100,-96.1000,0,-1,0,-1,1.427989,0.055941,-0.376688,0.000000,0.000000,0.055484,0,0.000000,0.9610,0.0000,0.5000
42,100,-67.4000,0,-1,0,-1,0.532850,0.016549,-0.267463,0.000000,0.000000,0.018598,0,0.000000,0.9601,0.0000,0.4884
43,100,-6.2000,0,-1,0,-1,1.271451,0.050110,-0.424020,0.000000,0.000000,0.049040,0,0.000000,0.9591,0.0000,0.4773
44,26,-122.0400,1,-1,0,-1,1.231662,0.048229,-0.009336,0.000000,0.000000,0.049490,0,0.000000,0.9582,0.0000,0.4889
45,100,-39.8000,0,-1,0,-1,1.166945,0.045895,-0.390053,0.000000,0.000000,0.046392,0,0.000000,0.9572,0.0000,0.4783
46,100,-6.6000,0,-1,0,-1,0.837314,0.032322,-0.369298,0.000000,0.000000,0.029468,0,0.000000,0.9563,0.0000,0.4681
47,100,-6.6000,0,-1,0,-1,0.204862,0.006459,-0.281437,0.000000,0.000000,0.007086,0,0.000000,0.9553,0.0000,0.4583
48,100,-5.8000,0,-1,0,-1,1.290310,0.049877,-0.300731,0.000000,0.000000,0.052715,0,0.000000,0.9544,0.0000,0.4490
49,100,-6.4000,0,-1,0,-1,0.516390,0.020740,-0.272718,0.000000,0.000000,0.019700,0,0.000000,0.9534,0.0000,0.4400
50,100,-99.8000,0,-1,0,-1,1.760984,0.073945,-0.402768,0.000000,0.000000,0.070945,0,0.000000,0.9525,0.0000,0.4314
51,100,-11.4000,0,-1,0,-1,0.538569,0.017268,-0.247184,0.000000,0.000000,0.018855,0,0.000000,0.9515,0.0000,0.4231
52,100,-6.0000,0,-1,0,-1,0.827820,0.032031,-0.232653,0.000000,0.000000,0.032234,0,0.000000,0.9506,0.0000,0.4151
53,100,-7.2000,0,-1,0,-1,0.691881,0.026131,-0.208855,0.000000,0.000000,0.025573,0,0.000000,0.9496,0.0000,0.4074
54,20,-61.4000,1,-1,0,-1,0.077406,0.003158,-0.352189,0.000000,0.000000,0.005912,0,0.000000,0.9486,0.0000,0.4182
55,38,-33.3200,1,-1,0,-1,0.864398,0.028489,-0.382901,0.000000,0.000000,0.026812,0,0.000000,0.9477,0.0000,0.4286
56,100,-6.4000,0,-1,0,-1,0.797946,0.033283,-0.194323,0.000000,0.000000,0.027480,0,0.000000,0.9467,0.0000,0.4211
57,100,-6.4000,0,-1,0,-1,0.660649,0.020850,-0.351665,0.000000,0.000000,0.028144,0,0.000000,0.9458,0.0000,0.4138
58,56,-65.4400,1,-1,0,-1,1.130512,0.051358,-0.206875,0.000000,0.000000,0.049008,0,0.000000,0.9448,0.0000,0.4237
59,60,-185.6000,1,-1,0,-1,0.328202,0.006949,-0.302178,0.000000,0.000000,0.008035,0,0.000000,0.9439,0.0000,0.4333
60,100,-99.9000,0,-1,0,-1,0.803694,0.030165,-0.112830,0.000000,0.000000,0.030932,0,0.000000,0.9429,0.0000,0.4262
61,89,-188.2600,1,-1,0,-1,1.064767,0.045605,-0.297038,0.000000,0.000000,0.041004,0,0.000000,0.9420,0.0000,0.4355
62,100,-6.6000,0,-1,0,-1,0.040329,-0.001358,-0.344256,0.000000,0.000000,0.002611,0,0.000000,0.9410,0.0000,0.4286
63,100,-6.6000,0,-1,0,-1,0.195396,0.008051,-0.187232,0.000000,0.000000,0.006915,0,0.000000,0.9401,0.0000,0.4219
64,35,-4.9000,1,-1,0,-1,0.935860,0.038781,-0.208711,0.000000,0.000000,0.035476,0,0.000000,0.9391,0.0000,0.4308
65,100,-249.0000,0,-1,0,-1,1.002487,0.029501,-0.223099,0.000000,0.000000,0.029875,0,0.000000,0.9382,0.0000,0.4242
66,100,-188.4000,0,-1,0,-1,0.826604,0.028035,-0.200486,0.000000,0.000000,0.030111,0,0.000000,0.9372,0.0000,0.4179
67,100,-6.7000,0,-1,0,-1,0.343604,0.016224,-0.257383,0.000000,0.000000,0.015874,0,0.000000,0.9363,0.0000,0.4118
68,100,-5.9000,0,-1,0,-1,0.973952,0.039296,-0.428141,0.000000,0.000000,0.037608,0,0.000000,0.9353,0.0000,0.4058
69,100,-6.3000,0,-1,0,-1,0.516230,0.019069,-0.287560,0.000000,0.000000,0.018759,0,0.000000,0.9344,0.0000,0.4000
70,79,-67.2600,1,-1,0,-1,0.637840,0.027548,-0.285824,0.000000,0.000000,0.029575,0,0.000000,0.9334,0.0000,0.4085
71,55,-154.5000,1,-1,0,-1,0.584599,0.017802,-0.336998,0.000000,0.000000,0.020488,0,0.000000,0.9325,0.0000,0.4167
72,75,-128.7000,1,-1,0,-1,1.083179,0.053142,-0.444394,0.000000,0.000000,0.047442,0,0.000000,0.9315,0.0000,0.4247
73,100,-6.6000,0,-1,0,-1,0.826690,0.031648,-0.356022,0.000000,0.000000,0.031244,0,0.000000,0.9306,0.0000,0.4189
74,34,-32.9600,1,-1,0,-1,0.035250,-0.002551,-0.383813,0.000000,0.000000,0.007787,0,0.000000,0.9296,0.0000,0.4267
75,100,-8.2000,0,-1,0,-1,0.959412,0.036642,-0.371140,0.000000,0.000000,0.035120,0,0.000000,0.9287,0.0000,0.4211
76,100,-11.1000,0,-1,0,-1,1.269907,0.046459,-0.261112,0.000000,0.000000,0.050862,0,0.000000,0.9277,0.0000,0.4156
77,100,-6.0000,0,-1,0,-1,0.994437,0.044254,-0.236633,0.000000,0.000000,0.035133,0,0.000000,0.9268,0.0000,0.4103
78,100,-11.6000,0,-1,0,-1,1.791393,0.073663,-0.254603,0.000000,0.000000,0.072739,0,0.000000,0.9258,0.0000,0.4051
79,92,-70.0800,1,-1,0,-1,0.750616,0.026273,-0.353114,0.000000,0.000000,0.026881,0,0.000000,0.9249,0.0000,0.4125
80,100,-161.0000,0,-1,0,-1,0.947243,0.037084,-0.212980,0.000000,0.000000,0.044303,0,0.000000,0.9239,0.0000,0.4074
81,100,-6.4000,0,-1,0,-1,1.402704,0.058627,-0.132885,0.000000,0.000000,0.054200,0,0.000000,0.9230,0.0000,0.4024
82,100,-6.0000,0,-1,0,-1,1.086905,0.047071,-0.315337,0.000000,0.000000,0.049549,0,0.000000,0.9220,0.0000,0.3976
