episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,23,-26.3000,1,-1,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1.0000,0.0000,1.0000
1,25,-14.5000,1,-1,0,-1,3.865441,0.000000,-0.187204,0.000000,0.000000,0.000000,0,0.000000,0.9987,0.0000,1.0000
2,44,-16.4000,1,-1,0,-1,2.767743,0.000000,-0.618140,0.000000,0.000000,0.000000,0,0.000000,0.9975,0.0000,1.0000
3,25,-14.5000,1,-1,0,-1,2.611577,0.000000,-0.628272,0.000000,0.000000,0.000000,0,0.000000,0.9962,0.0000,1.0000
4,18,-7.8000,1,-1,0,-1,2.123058,0.000000,-0.502616,0.000000,0.000000,0.000000,0,0.000000,0.9949,0.0000,1.0000
5,72,-37.2000,1,-1,0,-1,2.281697,0.000000,-0.498778,0.000000,0.000000,0.000000,0,0.000000,0.9937,0.0000,1.0000
6,68,-12.8000,1,-1,0,-1,2.126730,0.000000,-0.472827,0.000000,0.000000,0.000000,0,0.000000,0.9924,0.0000,1.0000
7,100,-10.0000,0,-1,0,-1,1.635827,0.000000,-0.387515,0.000000,0.000000,0.000000,0,0.000000,0.9911,0.0000,0.8750
8,100,-8.0000,0,-1,0,-1,1.054224,0.000000,-0.292977,0.000000,0.000000,0.000000,0,0.000000,0.9899,0.0000,0.7778
9,100,-8.0000,0,-1,0,-1,0.428346,0.000000,-0.225681,0.000000,0.000000,0.000000,0,0.000000,0.9886,0.0000,0.7000
10,100,-34.0000,0,-1,0,-1,0.206500,0.000000,-0.253572,0.000000,0.000000,0.000000,0,0.000000,0.9873,0.0000,0.6364
11,100,-8.0000,0,-1,0,-1,0.237641,0.000000,-0.252852,0.000000,0.000000,0.000000,0,0.000000,0.9860,0.0000,0.5833
12,27,-14.7000,1,-1,0,-1,0.053706,0.000000,-0.279035,0.000000,0.000000,0.000000,0,0.000000,0.9848,0.0000,0.6154
13,46,-28.6000,1,-1,0,-1,0.028725,0.000000,-0.245887,0.000000,0.000000,0.000000,0,0.000000,0.9835,0.0000,0.6429
14,28,-8.8000,1,-1,0,-1,0.009681,0.000000,-0.282804,0.000000,0.000000,0.000000,0,0.000000,0.9822,0.0000,0.6667
15,100,-9.0000,0,-1,0,-1,0.014042,0.000000,-0.255625,0.000000,0.000000,0.000000,0,0.000000,0.9810,0.0000,0.6250
16,100,-14.0000,0,-1,0,-1,0.029027,0.000000,-0.275522,0.000000,0.000000,0.000000,0,0.000000,0.9797,0.0000,0.5882
17,28,-8.8000,1,-1,0,-1,0.137164,0.000000,-0.279535,0.000000,0.000000,0.000000,0,0.000000,0.9784,0.0000,0.6111
18,100,-21.0000,0,-1,0,-1,0.058647,0.000000,-0.276806,0.000000,0.000000,0.000000,0,0.000000,0.9772,0.0000,0.5789
19,24,-8.4000,1,-1,0,-1,0.125148,0.000000,-0.247158,0.000000,0.000000,0.000000,0,0.000000,0.9759,0.0000,0.6000
20,100,-8.0000,0,-1,0,-1,0.060309,0.000000,-0.239323,0.000000,0.000000,0.000000,0,0.000000,0.9746,0.0000,0.5714
21,100,-8.0000,0,-1,0,-1,0.060397,0.000000,-0.251061,0.000000,0.000000,0.000000,0,0.000000,0.9734,0.0000,0.5455
22,17,-7.7000,1,-1,0,-1,0.018737,0.000000,-0.317568,0.000000,0.000000,0.000000,0,0.000000,0.9721,0.0000,0.5652
23,95,-20.5000,1,-1,0,-1,0.106899,0.000000,-0.252639,0.000000,0.000000,0.000000,0,0.000000,0.9708,0.0000,0.5833
24,100,-8.0000,0,-1,0,-1,0.086940,0.000000,-0.250877,0.000000,0.000000,0.000000,0,0.000000,0.9696,0.0000,0.5600
25,28,-14.8000,1,-1,0,-1,0.136055,0.000000,-0.273154,0.000000,0.000000,0.000000,0,0.000000,0.9683,0.0000,0.5769
26,45,-10.5000,1,-1,0,-1,0.042461,0.000000,-0.249993,0.000000,0.000000,0.000000,0,0.000000,0.9670,0.0000,0.5926
27,99,-8.9000,1,-1,0,-1,0.116252,0.000000,-0.246774,0.000000,0.000000,0.000000,0,0.000000,0.9658,0.0000,0.6071
28,100,-34.0000,0,-1,0,-1,0.093170,0.000000,-0.235805,0.000000,0.000000,0.000000,0,0.000000,0.9645,0.0000,0.5862
29,100,-15.0000,0,-1,0,-1,0.085240,0.000000,-0.245935,0.000000,0.000000,0.000000,0,0.000000,0.9632,0.0000,0.5667
30,17,-13.7000,1,-1,0,-1,0.104006,0.000000,-0.213998,0.000000,0.000000,0.000000,0,0.000000,0.9619,0.0000,0.5806
31,100,-8.0000,0,-1,0,-1,0.101483,0.000000,-0.252117,0.000000,0.000000,0.000000,0,0.000000,0.9607,0.0000,0.5625
32,100,-8.0000,0,-1,0,-1,0.067870,0.000000,-0.228332,0.000000,0.000000,0.000000,0,0.000000,0.9594,0.0000,0.5455
33,56,-17.6000,1,-1,0,-1,0.091155,0.000000,-0.241402,0.000000,0.000000,0.000000,0,0.000000,0.9581,0.0000,0.5588
