episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,200,-11.9000,0,10,0,57,0.015945,0.017740,0.002671,0.001837,0.016622,0.007751,0,0.003875,0.9962,0.9962,0.0000
1,200,-15.8000,0,50,0,-1,0.002226,-0.004461,-0.009762,-0.000480,0.017820,0.006840,0,0.003420,0.9924,0.9924,0.0000
2,200,-16.7000,0,-1,3,-1,0.003562,-0.003435,-0.020304,-0.000400,0.015047,0.005779,0,0.002889,0.9886,0.9886,0.0000
3,200,-11.9000,0,42,0,65,0.002682,0.019874,-0.018393,0.001803,0.014913,0.007047,0,0.003523,0.9848,0.9848,0.0000
4,200,-9.8000,0,14,0,96,0.002327,0.030824,-0.000619,0.002823,0.025966,0.012080,0,0.006040,0.9810,0.9810,0.0000
5,200,-13.3000,0,112,1,136,0.003903,0.050637,-0.013308,0.004772,0.022650,0.011923,0,0.005962,0.9772,0.9772,0.0000
6,200,-13.5000,0,56,0,-1,0.002375,0.027618,0.023401,0.002792,0.043478,0.019066,0,0.009533,0.9734,0.9734,0.0000
7,200,-15.2000,0,98,2,115,0.001141,0.011907,0.010683,0.001240,0.036901,0.015504,0,0.007752,0.9696,0.9696,0.0000
8,200,-17.4000,0,-1,1,-1,0.000882,0.011627,-0.009211,0.001038,0.026621,0.011271,0,0.005635,0.9658,0.9658,0.0000
9,200,-18.8000,0,-1,6,-1,0.000588,0.000379,-0.030279,0.000160,0.018016,0.007303,0,0.003651,0.9620,0.9620,0.0000
10,200,-11.9000,0,36,0,116,0.006444,0.043332,0.045064,0.003973,0.019920,0.010352,0,0.005176,0.9582,0.9582,0.0000
11,200,-12.7000,0,121,3,150,0.002531,0.007169,0.103345,0.000869,0.035978,0.014913,0,0.007456,0.9544,0.9544,0.0000
12,200,-12.6000,0,118,0,196,0.001719,0.003249,0.086156,0.000314,0.027090,0.011025,0,0.005512,0.9506,0.9506,0.0000
13,200,-10.1000,0,41,0,70,0.001442,0.010915,0.097163,0.001021,0.027210,0.011497,0,0.005748,0.9468,0.9468,0.0000
14,200,-12.5000,0,18,0,126,0.001013,0.003214,0.107745,0.000387,0.036452,0.014813,0,0.007407,0.9430,0.9430,0.0000
15,200,-11.4000,0,27,0,40,0.008253,0.013436,0.250929,0.001323,0.037963,0.015979,0,0.007989,0.9392,0.9392,0.0000
16,200,-13.2000,0,110,5,163,0.003063,-0.008411,0.297978,-0.000668,0.044566,0.017426,0,0.008713,0.9354,0.9354,0.0000
17,200,-11.4000,0,10,0,119,0.001223,-0.010393,0.285195,-0.001025,0.040259,0.015489,0,0.007745,0.9316,0.9316,0.0000
18,200,-12.3000,0,64,0,92,0.000663,-0.011636,0.267115,-0.001070,0.025630,0.009610,0,0.004805,0.9278,0.9278,0.0000
19,200,-11.8000,0,17,0,59,0.000477,-0.012870,0.257428,-0.001213,0.023645,0.008730,0,0.004365,0.9240,0.9240,0.0000
20,200,-9.7000,0,45,0,55,0.009971,0.004040,0.450736,0.000277,0.036898,0.014925,0,0.007463,0.9202,0.9202,0.0000
21,200,-10.4000,0,33,2,119,0.002763,-0.015385,0.506683,-0.001347,0.046268,0.017699,0,0.008849,0.9164,0.9164,0.0000
22,200,-11.9000,0,41,3,65,0.001393,-0.018497,0.490801,-0.001721,0.038101,0.014208,0,0.007104,0.9126,0.9126,0.0000
23,200,-11.6000,0,21,1,30,0.000700,-0.020968,0.477071,-0.002027,0.040279,0.014895,0,0.007448,0.9088,0.9088,0.0000
24,200,-10.9000,0,8,0,82,0.000471,-0.019534,0.460868,-0.001837,0.033078,0.012129,0,0.006065,0.9050,0.9050,0.0000
25,200,-10.1000,0,42,0,75,0.010737,-0.002078,0.630903,-0.000245,0.020228,0.007944,0,0.003972,0.9012,0.9012,0.0000
26,200,-12.0000,0,45,0,84,0.003919,-0.000463,0.635009,-0.000075,0.015415,0.006121,0,0.003061,0.8974,0.8974,0.0000
27,200,-15.3000,0,83,9,109,0.002206,-0.004589,0.642204,-0.000409,0.015236,0.005849,0,0.002924,0.8936,0.8936,0.0000
28,200,-10.3000,0,41,1,105,0.001087,-0.009448,0.668803,-0.000843,0.025150,0.009554,0,0.004777,0.8898,0.8898,0.0000
29,200,-12.6000,0,42,2,49,0.000739,-0.013740,0.638676,-0.001292,0.020120,0.007273,0,0.003636,0.8860,0.8860,0.0000
30,200,-10.9000,0,31,1,139,0.008000,-0.006560,0.868571,-0.000654,0.013375,0.004958,0,0.002479,0.8822,0.8822,0.0000
31,200,-13.2000,0,79,0,-1,0.002765,-0.014234,0.892445,-0.001462,-0.015247,-0.006976,0,-0.003488,0.8784,0.8784,0.0000
32,200,-11.6000,0,14,0,32,0.001745,-0.014672,0.914248,-0.001324,-0.009626,-0.004645,0,-0.002323,0.8746,0.8746,0.0000
33,200,-11.5000,0,12,0,151,0.001246,-0.016645,0.939519,-0.001548,-0.009754,-0.004830,0,-0.002415,0.8708,0.8708,0.0000
34,200,-10.8000,0,50,0,166,0.000986,-0.017960,0.965731,-0.001666,-0.005940,-0.003375,0,-0.001688,0.8670,0.8670,0.0000
35,200,-10.8000,0,22,1,33,0.008560,-0.007809,1.144906,-0.000686,-0.000632,-0.000664,0,-0.000332,0.8632,0.8632,0.0000
36,200,-11.6000,0,30,0,121,0.002533,-0.015201,1.209281,-0.001458,-0.001860,-0.001619,0,-0.000809,0.8594,0.8594,0.0000
37,200,-10.9000,0,47,1,81,0.001281,-0.021387,1.177332,-0.002012,0.006526,0.001403,0,0.000702,0.8556,0.8556,0.0000
38,200,-11.9000,0,34,0,61,0.001168,-0.028547,1.149451,-0.002685,0.005834,0.000723,0,0.000361,0.8518,0.8518,0.0000
39,200,-10.2000,0,34,0,152,0.000993,-0.032776,1.151171,-0.003170,0.012694,0.003176,0,0.001588,0.8480,0.8480,0.0000
40,200,-11.3000,0,26,0,197,0.005599,-0.026541,1.282202,-0.002563,0.011819,0.003190,0,0.001595,0.8442,0.8442,0.0000
41,200,-12.9000,0,37,3,53,0.001810,-0.026764,1.291889,-0.002474,0.005521,0.000724,0,0.000362,0.8404,0.8404,0.0000
42,200,-10.4000,0,32,0,45,0.001264,-0.031425,1.217356,-0.003075,0.011203,0.002636,0,0.001318,0.8366,0.8366,0.0000
43,200,-11.4000,0,43,0,50,0.001240,-0.033962,1.244630,-0.003116,0.009194,0.001808,0,0.000904,0.8328,0.8328,0.0000
44,200,-10.3000,0,6,0,114,0.001090,-0.034901,1.251643,-0.003277,0.006369,0.000581,0,0.000291,0.8290,0.8290,0.0000
45,200,-11.7000,0,37,0,123,0.005451,-0.027095,1.345889,-0.002644,0.004031,0.000026,0,0.000013,0.8252,0.8252,0.0000
46,200,-11.1000,0,27,0,52,0.001860,-0.016861,1.350603,-0.001684,0.008990,0.002586,0,0.001293,0.8214,0.8214,0.0000
47,200,-10.5000,0,22,1,65,0.001282,-0.031653,1.338131,-0.002896,0.008853,0.001803,0,0.000902,0.8176,0.8176,0.0000
48,200,-10.6000,0,37,0,190,0.001080,-0.032805,1.385018,-0.003096,0.010146,0.002201,0,0.001100,0.8138,0.8138,0.0000
49,200,-10.2000,0,134,1,179,0.001202,-0.043763,1.403975,-0.004059,0.018231,0.004857,0,0.002429,0.8100,0.8100,0.0000
