episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,100,0.0000,0,-1,15,-1,0.000022,0.000164,0.025482,0.000000,0.000000,0.000161,0,0.000000,1.0000,0.0000,0.0000
1,100,0.0000,0,-1,9,-1,0.000004,0.000000,0.025321,0.000000,0.000000,0.000003,0,0.000000,0.8944,0.0000,0.0000
2,100,1.0000,0,96,7,-1,0.000006,-0.000007,0.025181,0.000000,0.000000,0.000002,0,0.000000,0.7889,0.0000,0.0000
3,100,1.0000,0,19,0,-1,0.003077,0.000216,0.028497,0.000000,0.000000,0.000605,0,0.000000,0.6833,0.0000,0.0000
4,100,1.0000,0,11,0,-1,0.005915,0.001785,0.030493,0.000000,0.000000,0.000708,0,0.000000,0.5778,0.0000,0.0000
5,100,1.0000,0,80,3,-1,0.004971,0.000778,0.030412,0.000000,0.000000,0.000869,0,0.000000,0.4722,0.0000,0.0000
6,100,1.0000,0,4,0,-1,0.003956,0.000553,0.030021,0.000000,0.000000,0.000911,0,0.000000,0.3667,0.0000,0.0000
7,30,13.0000,1,5,0,28,0.008410,0.001942,0.034012,0.000000,0.000000,0.000948,0,0.000000,0.2611,0.0000,0.1250
8,100,1.0000,0,89,38,-1,0.105051,0.003401,0.043702,0.000000,0.000000,0.003657,0,0.000000,0.1556,0.0000,0.1111
9,100,1.0000,0,30,0,-1,0.028206,-0.000231,0.035886,0.000000,0.000000,0.000429,0,0.000000,0.0500,0.0000,0.1000
