episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,100,0.0000,0,-1,0,-1,0.000119,0.000138,0.038221,0.000000,0.000000,-0.000441,0,0.000000,0.3000,0.0000,0.0000
1,8,-30.0000,1,-1,0,-1,5.697476,-0.228577,0.032432,0.000000,0.000000,-0.037935,0,0.000000,0.2722,0.0000,0.5000
2,100,0.0000,0,-1,0,-1,5.605709,-0.039972,-0.156432,0.000000,0.000000,-0.048023,0,0.000000,0.2444,0.0000,0.3333
3,100,0.0000,0,-1,0,-1,2.242674,0.014207,-0.069997,0.000000,0.000000,0.000810,0,0.000000,0.2167,0.0000,0.2500
4,100,0.0000,0,-1,0,-1,2.682680,-0.040670,-0.033930,0.000000,0.000000,-0.027214,0,0.000000,0.1889,0.0000,0.2000
5,100,0.0000,0,-1,0,-1,1.120856,0.008743,-0.017732,0.000000,0.000000,0.001211,0,0.000000,0.1611,0.0000,0.1667
6,100,0.0000,0,-1,0,-1,0.673311,-0.004238,0.014096,0.000000,0.000000,0.001905,0,0.000000,0.1333,0.0000,0.1429
7,100,0.0000,0,-1,0,-1,0.667535,0.003243,0.006709,0.000000,0.000000,-0.003901,0,0.000000,0.1056,0.0000,0.1250
8,100,0.0000,0,-1,0,-1,0.669252,-0.006184,0.016035,0.000000,0.000000,-0.006735,0,0.000000,0.0778,0.0000,0.1111
9,100,0.0000,0,-1,0,-1,0.448212,0.001149,0.018110,0.000000,0.000000,0.000444,0,0.000000,0.0500,0.0000,0.1000
